OBJECTID,Shape__Area,Shape__Length,Name,Category,Cost,Description,Location,Manager,Email,Phase,Status,Contact,Completion
172,193437.6328,1787.690507,Creighton Court Redevelopment,Road Improvements," $22,551,304 ","Installation of infrastructure to support redevelopment of the Creighton Court neighborhood, including, but not limited to, roads, curbs, gutter, sidewalks, paving, streetscaping, underground utilities, and stormwater management.",Creighton Court,Loren Brown,Loren.Brown@rva.gov,Construction,Phase A is 88% leased - 13 more vouchers are needed. Phase B is 92% complete. Punch list walk throughs began on 10/22/25. HAP process will begin once CofO has been received - currently slated for mid November. Phase C is scheduled to begin in early 2027.,804-646-6428,TBD
173,1988.785156,369.7804062,Chimborazo Park Sidewalk Installations,Pedestrian and Bike," $445,500 ","Pedestrian improvements, including installation of new sidewalk along the Southeast-Bound side of East Broad Street, ADA-compliant curb ramps, curb extensions, pavement removal, and roadway width reduction.","East Broad Street at, and between the roadway’s intersections with North 33rd Street, Chimborazo Boulevard, and North 34th Street",Thomas Moore,Thomas.Moore1@rva.gov,Pre-Construction,Parks & Rec reviewing plans; Contractor submitting quotes for non-standard items,804-646-2720,Summer 2025
179,174228.7227,7868.332944,Cherokee Road Roadside Safety Improvements,Road Improvements,"$23,000,000","Construction of roadway improvements on Cherokee Road, including installation of curb and gutter.",Cherokee Road between North Huguenot Road and Forest Hill Avenue,Mohamed Benomar,Mohamed.Benomar@rva.gov,Planning/Design,"Phase 1 (survey) has been authorized. Phase 2 (design) will follow survey completion, with continued public engagement.",804-987-7545,Early 2029
180,16516.52734,1762.950385,Richmond-Henrico Turnpike Improvements,Road Improvements,"$3,000,000","Safety improvements including roadway widening, pavement reconstruction, pavement markings and the installation of guardrail.",Richmond-Henrico Turnpike from Fourqurean Drive to Dove Street,Adel Edward,Adel.Edward@rva.gov ,Planning/Design,N/A,804-646-6584,Winter 2027
181,5465.152344,501.4666111,Westhampton Area Improvements - Phase III,Road Improvements,"$200,000","Installation of sidewalk, handicap ramps, and streetlights and pavement markings, and street furniture.",North side of Patterson Avenue from Granite Avenue to Seneca Road,Thomas Moore,Thomas.Moore1@rva.gov,Pre-Construction,N/A,804-646-2720,Summer 2025
184,104970.3047,3647.14454,Fall Line Trail - Transit Improvements over Manchester Bridge,Road Improvements,"$28,213,000","Multimodal safety and operational improvements including a 14’ continuous shared use path within a widened median as part of the regional 43-mile Fall Line Trail. This project will also provide dedicated transit-only lanes, bicycle and pedestrian access improvements and crossing accommodations.",Commerce Road and 9th Street (Manchester Bridge) between Perry Street and Byrd Street,Timothy Lewis,Timothy.Lewis3@rva.gov,Planning/Design,In design phase.,TBD,TBD
185,20365.71875,1366.666091,Street Paving - Westmoreland Place,Road Improvements,"$340,000",Paving and restoration of streets.,Cary Street to Charmian Road,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin late spring 2026,804-646-4781,TBD
188,30625.25391,2275.974674,Street Paving - Hull Street (Richmond to Commerce),Road Improvements,"$213,747",Paving and restoration of streets.,Richmond Highway to Commerce Road,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Will start in 2026.,804-646-4781,TBD
189,102480.8594,4406.89945,Street Paving - Oliver Hill Way,Road Improvements,"$656,000",Paving and restoration of streets.,Broad St to Hospital St,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
190,68382.60938,3256.693524,Street Paving - 18th Street,Road Improvements,"$355,822",Paving and restoration of streets.,Broad St to Oliver Hill Way,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold.,804-646-4781,TBD
194,7017.273438,755.3450455,Street Paving - E. Broad Rock Rd.,Road Improvements,"$60,656",Paving and restoration of streets.,Lawson St to Decatur St,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
195,16575.72266,2052.608545,Street Paving - E. Clopton Street,Road Improvements,"$166,914",Paving and restoration of streets.,Maury St to Bainbridge St,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
198,81302.22656,5494.738298,Street Paving - Belt Blvd,Road Improvements,"$680,000",Paving and restoration of streets.,Broad Rock Blvd to Twyman Rd,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
210,310306.4219,5920.129099,Street Paving - Diamond Area,Road Improvements,"$538,086",Paving and restoration of streets.,Various Streets in the area (see Paving Plan for details),Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,N/A,804-646-4781,Summer 2026
212,4054640.852,10377.28118,Street Paving - Jeff-Davis Neighborhood,Road Improvements,"$1,875,000",Paving and restoration of streets.,Various Streets in the area (see Paving Plan for details),Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting for stormwater study to be completed.,804-646-4781,TBD
213,1088404.656,4263.308521,Street Paving - N. Barton Heights,Road Improvements,"$846,793",Paving and restoration of streets.,Various Streets in the area (see Paving Plan for details),Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
217,251235.4805,8665.923935,Street Paving - Deepwater Terminal Road,Road Improvements,"$993,209",Paving and restoration of streets.,Port of Richmond to Dead End,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
221,3034.882813,806.6897364,Manchester Connection to James River - Pedestrian/Bike,Pedestrian and Bike,"$6,344,831",Construction of a 10 foot shared use path with 2 foot shoulders and a new pedestrian bridge to address pedestrian access and safety along the 0.3 mile connection from Semmes Avenue to the T. Tyler Potterfield Memorial Bridge.  This project will also include crossing improvements to cross Semmes Avenue and LED pedestrian-scale lighting along the trail connection.,Semmes Avenue to T. Tyler Potterfield Memorial Bridge,Thomas Westbrook,Thomas.Westbrook@rva.gov,Planning/Design,N/A,804-646-3421,N/A
222,110559.0195,1435.906228,Parks Improvement Projects - Broad Rock,Parks & Recreation,"$450,000",Upgrades to restroom facilities.,4857 Warwick Rd,Ryan Rinn,Ryan.Rinn@rva.gov,Pre-Construction,"Pursuing three quotes for sewer line replacement.  Multiple vendors not interested in city work, continuing to pursue for line replacement which must occur before work happens at the bathhouse.",804-646-4347,TBD
223,4370.199219,286.2210384,Parks Improvement Projects - James River Park System,Parks & Recreation,"$1,000,000",Implementation of James River Master Plan (Slate Roof Replacement at Pump House).,1600 Pump House Dr,Heywood Harrison,Heywood.Harrison@rva.gov,Pre-Construction,Project has received grant funding and CIP funding support from Historic Richmond Foundation to replace roof.,804-646-5608,TBD
224,6570.628906,328.436859,Parks Improvement Projects - Maymont Park,Parks & Recreation,"$350,000",Installation of a new electrical line to the lower restroom facility and upgrade of the pump system.,1001 Spottswood Rd,Daniel Hazlett,daniel.hazlett@rva.gov,Completed,Original scope of work completed: New electrical line and pumps installed at the restroom facility. Additional issues exist with inground infrastructure. No additional funding currently available to address these issues.,804-646-7506,N/A
226,4454.355469,272.1447435,Percent for Art - Trailhead at Ancarrow's Landing,Public Art,"$300,000",This 12-foot sculpture consists of a colossal bronze head topped with graduated vessels referencing cultural traditions of enslaved Africans. The head will sit atop a concrete base covered with vertical steel panels in the shape of the Brooks slave ship.,1200 Brander St,Monica Kinsey,Monica.Kinsey@rva.gov,Planning/Design,N/A,804-646-3303,Fall 2026
228,62074.98047,2767.241272,Broad Street Streetscape - Phase II w/BRT Expansion,Road Improvements,"$26,804,000","Multimodal safety and operational improvements to the 0.5 mile stretch of Broad Street from Hamilton Street to Commonwealth Avenue. Improvements include two new Bus Rapid Transit (BRT) curbside stations, sidewalk and ADA accessible ramp improvements, pedestrian crossing improvements, access management, and other streetscape amenities.",Broad Street from Hamilton Street to Commonwealth Avenue,Yongping Wang,Yongping.Wang@rva.gov,,,804-646-2467,
229,878.671875,166.5256506,Cary Street Sidewalk Improvements,Pedestrian and Bike,"$586,000","Installation of dedicated pedestrian infrastructure where existing pedestrian infrastructure is lacking. New sidewalk and islands are proposed on the south side of the intersection to provide a safe connection from the adjacent neighborhoods to St. Catherine's School immediately north of the intersection, and to provide a safe refuge for pedestrians to cross Cary Street. A section of sidewalk is also proposed on St. Catherine's Lane to complete the safe pedestrian-specific link across the intersection.",Cary Street at the intersection of Three Chopt Road,Mohamed Benomar,Mohamed.Benomar@rva.gov,Planning/Design,"The project is in the 30% design phase, with City and VDOT review underway. Recent progress focused on stakeholder coordination with the Tuckahoe Condominium Association regarding various concerns; consultant is now assessing feasible design refinements.",804-987-7545,Late 2028
230,24734.13672,2375.619837,Clay Street Streetscape,Road Improvements,"$18,771,000","Convert and improve the typical section of Clay Street from a two-lane, one-way street to a two-lane, two-way street along the 0.5 mile stretch between Arthur Ashe Boulevard and Belleville Street by providing a 10’ travel lane in each direction, a 6’ bike lane along the eastbound side of the corridor, and a parking lane on both sides of the corridor between Sheppard Street and Roseneath Road. This project will further improve multimodal safety and operations by providing traffic calming and access management through curb bump-outs and removing redundant entrances to parcels, and by providing bike, pedestrian, and transit access improvements and crossing accommodations at two intersections and at two bus stops.",Clay Street from Arthur Ashe Boulevard to Belleville Street,TBD,TBD,,,TBD,
231,11886.37109,1453.962197,Gillies Creek Greenway - Phase I,Pedestrian and Bike,"$5,341,000","Installation of a 10’ paved path, street crossing improvements at Main Street and at Williamsburg Avenue, roadway lighting improvements at Williamsburg Avenue, Government Road, and Jennie Scher Road, and bike, pedestrian and transit access improvements at eight transit stops/stations.",Main Street to Williamsburg Avenue,Mohamed Benomar,Mohamed.Benomar@rva.gov,Planning/Design,The project is currently in pre-design.  The draft City-State Agreement has been received from VDOT and is under City review.,804-987-7545,Mid 2030
232,46221.74219,2369.835602,Carnation Street Sidewalks - Phase II,Pedestrian and Bike,"$873,000",Construction of a new 5-foot wide sidewalk for approximately 0.2 miles along eastbound Carnation Street from Hioaks Road to Old Warwick Road.,Carnation Street from Hioaks Road to Old Warwick Road,Thomas Moore,Thomas.Moore1@rva.gov,,,804-646-2720,
233,111215.8906,1783.580402,Mayo Island Redevelopment,Parks & Recreation,TBD,"Redevelopment of Mayo Island, including demolition of existing properties and stabilization of the island. This work is required per the grant agreement funding the purchase of Mayo Island in 2023.",Mayo Island,TBD,TBD,Planning/Design,"Working on design, project will be going out to bid soon.",TBD,TBD
234,9897.578125,404.3051974,Pine Camp Facility Improvements,Parks & Recreation,"$509,617",Improvements to Pine Camp Community Center.,4901 Old Brook Rd,Heywood Harrison,Heywood.Harrison@rva.gov,Planning/Design,HVAC units replaced 09/2025.  Working with staff to finalize scope for additional improvement to the building and site.,804-646-5608,TBD
235,88164.20703,3452.46964,Street Paving - Bellemeade Road,Road Improvements,"$700,782",Paving and restoration of streets.,Richmond Highway to Royal Ave,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
236,1717.761719,338.3225735,Street Paving - Berrington Court,Road Improvements,"$32,550",Paving and restoration of streets.,Floyd Avenue to Grove Avenue,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
237,170889.125,9154.858748,Street Paving - Cary Street Road,Road Improvements,"$1,011,108",Paving and restoration of streets.,Three Chopt Road to S. Nansemond Street,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
238,356160.1367,10370.90901,Street Paving - Commerce Road,Road Improvements,"$3,107,471",Paving and restoration of streets.,Royal Ave to 9th Street Bridge,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
239,11427.05469,1165.111876,Street Paving - Pineway Drive,Road Improvements,"$77,205",Paving and restoration of streets.,N Riverside Dr to Forest Hill Ave,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to take place between spring/summer 2026,804-646-4781,TBD
240,7865.996094,723.9904943,Street Paving - S. Thompson Street,Road Improvements,"$90,757",Paving and restoration of streets.,Cary Street Road to Floyd Avenue,Kenny Horak,Kenneth.Horak@rva.gov,Construction,Paving is underway.,804-646-4781,Fall 2025
241,36764.57031,2502.954867,Street Paving - 8th Street,Road Improvements,"$381,852",Paving and restoration of streets.,E Leigh Street to E Canal Street,Kenny Horak,Kenneth.Horak@rva.gov,Construction,Paving is underway.,804-646-4781,Fall 2025
242,594412.3359,3084.86233,Street Paving - Chimborazo Area,Road Improvements,"$1,101,286",Paving and restoration of streets.,N 29th to N 35th St/E Broad St to N St,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
244,836048.0117,3657.463249,Street Paving - Church Hill North,Road Improvements,"$900,682",Paving and restoration of streets.,N 25th St to N 32nd St/O St to U St,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,N/A,804-646-4781,Summer 2026
245,21006.89453,1961.468136,Street Paving - E. Marshall St,Road Improvements,"$257,473",Paving and restoration of streets.,N 29th St to Dead End,Kenny Horak,Kenneth.Horak@rva.gov,Pre-Construction,On hold; waiting on DPU to complete work in area.,804-646-4781,TBD
246,27427.21875,2923.522871,Street Paving - E. Richmond Rd,Road Improvements,"$253,750",Paving and restoration of streets.,Oakwood Ave to City Limits,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,N/A,804-646-4781,Summer 2026
247,999.5625,198.2740647,Street Paving - Floyd Avenue,Road Improvements,"$24,435",Paving and restoration of streets.,S. Thompson St. to Berrington Ct.,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
248,3409.683594,808.8925338,Street Paving - U Street,Road Improvements,"$57,110",Paving and restoration of streets.,N 28th St to N 31st St,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
249,396884.4453,2743.602215,Street Paving - Swansboro Area,Road Improvements,"$300,323",Paving and restoration of streets.,Richmond Hwy to E Clopton St/Everett St to Hull St,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin spring 2026,804-646-4781,TBD
250,651303.707,4082.303768,Street Paving - Warwick Area,Road Improvements,"$497,325",Paving and restoration of streets.,Whitehead Rd to Hull St Rd/Worthington to Swanson Rd,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin spring 2026,804-646-4781,TBD
251,437794.9023,2665.267337,Street Paving - Westlake Hills,Road Improvements,"$475,855",Paving and restoration of streets.,Bliley Rd to Nicolet Rd/Briarcliff Rd to Netherwood Rd,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin spring 2026,804-646-4781,TBD
252,73928.54297,5888.097784,Street Paving - River Road,Road Improvements,"$338,165",Paving and restoration of streets.,City Limits to Three Chopt Road,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to take place between spring/summer 2026,804-646-4781,TBD
253,15102.21875,1136.464418,Street Paving - Riverside Drive,Road Improvements,"$73,416",Paving and restoration of streets.,Breckenridge Rd to N Riverside Dr,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to take place between spring/summer 2026,804-646-4781,TBD
254,192019.0547,7356.485087,Street Paving - Hull Street (Cowardin to Belt),Road Improvements,"$986,667",Paving and restoration of streets.,Cowardin Ave to Belt Blvd,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Will start in spring of 2026.,804-646-4781,Summer 2026
255,5534.515625,776.6596728,Street Paving - N. 11th Street,Road Improvements,"$95,762",Paving and restoration of streets.,E Marshall St to E Leigh St,Kenny Horak,Kenneth.Horak@rva.gov,Construction,N/A,804-646-4781,Fall 2025
256,1139.710938,307.469939,Street Paving - N. 28th Street,Road Improvements,"$34,684",Paving and restoration of streets.,U St to Nine Mile Rd,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
257,7524.367188,1257.081381,Street Paving - N. 31st Street,Road Improvements,"$696,388",Paving and restoration of streets.,E Grace St to Nine Mile Rd,Kenny Horak,Kenneth.Horak@rva.gov,Completed,N/A,804-646-4781,N/A
259,1175707.328,5747.031971,Street Paving - South Gardens,Road Improvements,"$713,593",Paving and restoration of streets.,Broad Rock Blvd to Hull St/Bryce Ln to Orcutt Ln,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin spring 2026,804-646-4781,TBD
260,24930.98047,2191.301559,Street Paving - Westmoreland Place Area,Road Improvements,"$519,766",Paving and restoration of streets.,Cary St Rd/E Hillcrest Ave to Westmoreland Pl.,Kenny Horak,Kenneth.Horak@rva.gov,Planning/Design,Paving to begin late spring 2026,804-646-4781,TBD
263,1912.464844,663.5798285,Fall Line Trail - Kanawha Plaza Multi-Use Trail,Pedestrian and Bike,"$4,388,200",Construction of the Fall Line Trail through the Kanawha Park site.,Kanawha Plaza from 9th Street & Byrd Street to 7th Street & Canal Street,Timothy Lewis,Timothy.Lewis3@rva.gov,,,,
